crossover_rate;mutation_rate;Fitness;Best Fitness;Solution Found At;Max Iterations Found;Time
0.939356310641437;0.9580474005504509;0.058823529411764705;0.058823529411764705;24;24;2925.160495996475
0.12307647915261088;0.5376315837172042;0.058823529411764705;0.058823529411764705;30;32;2744.919979095459
0.6341697949626426;0.8391407144067929;0.058823529411764705;0.058823529411764705;5;27;2725.500767469406
0.09033811578085604;0.02515127963189856;0.058823529411764705;0.058823529411764705;10;26;2694.774332523346
0.6839473342612993;0.8764554424908427;0.058823529411764705;0.058823529411764705;11;25;2734.334062576294
0.769136791669452;0.0910646668446623;0.058823529411764705;0.058823529411764705;20;21;2724.094125032425
0.14020088758900395;0.9586758243987191;0.058823529411764705;0.058823529411764705;22;24;2774.3745753765106
0.6004124956315353;0.6693621741950755;0.058823529411764705;0.058823529411764705;28;33;2854.6634147167206
0.731508689690144;0.8151224715380792;0.058823529411764705;0.058823529411764705;16;27;2824.9235558509827
0.6428456931346946;0.07654466320391506;0.058823529411764705;0.058823529411764705;15;20;2734.001392364502
0.8949338052105322;0.8152397590181373;0.058823529411764705;0.058823529411764705;20;27;2733.9017572402954
0.5011302766253839;0.9248365559868115;0.058823529411764705;0.058823529411764705;15;23;2733.886792421341
0.449100495080324;0.7712420005022589;0.058823529411764705;0.058823529411764705;19;29;2704.0670573711395
0.7824502916028725;0.7403042146220679;0.058823529411764705;0.058823529411764705;14;26;2724.1439304351807
0.6572246143272038;0.7658282272741325;0.05555555555555555;0.05555555555555555;10;31;2763.8884217739105
0.6929114007166096;0.3632704895703608;0.058823529411764705;0.05555555555555555;20;25;2704.0915274620056
0.34121519961591606;0.8603906011169228;0.058823529411764705;0.05555555555555555;25;26;2746.0715074539185
0.06913125722736968;0.49669744179259356;0.058823529411764705;0.05555555555555555;20;27;2695.1373858451843
0.007116232360245722;0.704056225264899;0.058823529411764705;0.058823529411764705;15;30;2945.4616231918335
0.1662995898820746;0.9429723277249856;0.058823529411764705;0.058823529411764705;14;23;2764.4590969085693
0.760325571670124;0.2151652001915506;0.058823529411764705;0.058823529411764705;13;22;2713.96341919899
0.08180498584266394;0.430001478594193;0.058823529411764705;0.058823529411764705;22;24;2704.1737582683563
0.9860991082110141;0.24628999352646586;0.058823529411764705;0.058823529411764705;17;19;2724.1558253765106
0.06225583013485747;0.31790157611313274;0.058823529411764705;0.058823529411764705;4;18;2703.8834166526794
0.10507142344329179;0.03326276662507166;0.058823529411764705;0.058823529411764705;6;26;2694.506039381027
