crossover_rate;mutation_rate;Fitness;Best Fitness;Time
0.715961158430544;0.08711924222271505;0.058823529411764705;0.058823529411764705;2912.071300268173
0.6278317735623653;0.9782881565433474;1.0;0.058823529411764705;161.73359847068787
0.1648779378340821;0.7069028802725529;1.0;0.058823529411764705;161.51051688194275
0.7037139862299754;0.13710783953668537;1.0;0.058823529411764705;171.60098266601562
0.6689928498786377;0.8771734558452221;1.0;0.058823529411764705;101.26389956474304
0.2926481175908737;0.98430566218982;1.0;0.058823529411764705;161.6801085472107
0.012151132503405493;0.6633373663227272;1.0;0.058823529411764705;171.75287508964539
0.6098158380077157;0.3735416699493481;1.0;0.058823529411764705;161.6915853023529
0.5453256727108358;0.7291053609327235;1.0;0.058823529411764705;161.76214122772217
0.820506561068346;0.9632181373028688;1.0;0.058823529411764705;161.46120023727417
0.4536811782918537;0.19897711631560655;1.0;0.058823529411764705;171.5055205821991
0.507728841268885;0.4068988509434198;1.0;0.058823529411764705;171.86633396148682
0.7627169861402149;0.4196524487772192;1.0;0.058823529411764705;181.75563740730286
0.3382576232112744;0.8008666769979904;1.0;0.058823529411764705;171.77791047096252
0.06547016112416992;0.03203664633474956;1.0;0.058823529411764705;171.72303938865662
0.3438084189619818;0.6680504068350519;1.0;0.058823529411764705;191.9150354862213
0.93066646512201;0.19227505526706112;1.0;0.058823529411764705;181.78484773635864
0.046977351003129386;0.3969803167716712;1.0;0.058823529411764705;191.82041597366333
0.6029653258622029;0.4338271254328019;1.0;0.058823529411764705;171.70415806770325
0.4198345852865679;0.8361718242217511;1.0;0.058823529411764705;171.77828669548035
