Population Size;Elitism Size;Fitness;Best Fitness;Solution Found At;Max Iterations Found;Time
12;2;0.0625;0.0625;41;49;2021.3040442466736
44;2;0.0625;0.05555555555555555;15;16;2693.707355260849
20;2;0.058823529411764705;0.05555555555555555;31;36;2714.0447537899017
44;2;0.0625;0.058823529411764705;15;16;2684.1355669498444
36;4;0.0625;0.058823529411764705;20;21;2684.592494249344
16;4;0.058823529411764705;0.058823529411764705;49;49;2453.4015769958496
40;4;0.058823529411764705;0.058823529411764705;10;18;2656.6148567199707
12;4;0.05555555555555555;0.05555555555555555;49;49;1869.8257067203522
16;4;0.058823529411764705;0.05555555555555555;49;49;2452.6453189849854
36;4;0.0625;0.05555555555555555;20;21;2684.0414175987244
32;4;0.058823529411764705;0.058823529411764705;19;24;2713.866908788681
16;6;0.0625;0.0625;48;49;2152.312968492508
32;6;0.058823529411764705;0.058823529411764705;13;25;2674.2334699630737
16;6;0.0625;0.058823529411764705;48;49;2171.6702148914337
36;6;0.058823529411764705;0.058823529411764705;18;22;2694.0419437885284
44;6;0.0625;0.0625;12;17;2784.8180539608
20;6;0.058823529411764705;0.058823529411764705;40;44;2704.11456489563
28;6;0.058823529411764705;0.058823529411764705;22;30;2663.9112179279327
28;6;0.058823529411764705;0.058823529411764705;22;30;2663.5331230163574
44;8;0.058823529411764705;0.058823529411764705;16;18;2663.6475479602814
