Population Size;Elitism Size;Fitness;Solution Found At;Max Iterations Found;Time
12;4;0,25;1;1;222,4823275
40;6;0,25;1;1;102,1150835
44;4;0,25;1;1;112,0912137
28;8;0,25;5;5;152,0469797
40;4;0,25;1;1;112,0726149
24;4;0,25;7;7;182,5713413
16;2;0,25;4;4;101,8850253
28;6;0,25;6;6;172,3075478
36;2;0,25;1;1;102,1293793
48;8;0,25;0;0;81,95403075
44;6;0,25;5;5;242,6039259
44;2;0,25;1;1;122,2032883
40;6;0,25;1;1;102,1669068
36;8;0,25;2;2;122,2049279
32;6;0,25;1;1;92,08890247
28;6;0,25;6;6;172,5573533
40;6;0,25;1;1;102,1835403
40;4;0,25;1;1;112,2085168
44;4;0,25;1;1;112,3954935
20;2;0,25;1;1;61,95076966
24;8;0,25;7;7;162,3794529
48;2;0,25;0;0;82,00054884
16;8;0,25;21;21;222,7926147
16;6;0,25;6;6;102,3223054
28;8;0,25;5;5;152,4243257
24;4;0,25;7;7;192,5137408
20;4;0,25;2;2;82,05849695
32;4;0,25;1;1;92,13729334
12;4;0,25;1;1;51,7764504
36;6;0,25;6;6;242,8387122
16;4;0,25;7;7;132,2577398
36;8;0,25;2;2;122,4389994
28;8;0,25;5;5;152,2462447
24;4;0,25;7;7;182,5912821
40;8;0,25;2;2;122,1811268
16;4;0,25;7;7;132,0599144
24;6;0,25;6;6;152,2255564
20;8;0,25;6;6;122,3442872
28;4;0,25;3;3;122,2357359
24;8;0,25;7;7;162,3305197
36;2;0,25;1;1;92,08864546
44;4;0,25;1;1;112,2347071
32;6;0,25;1;1;92,01882267
28;6;0,25;6;6;172,506912
16;6;0,25;6;6;101,9999714
44;6;0,25;5;5;242,559792
40;6;0,25;1;1;102,1477168
36;6;0,25;6;6;242,8189008
32;4;0,25;1;1;92,08506083
20;8;0,25;6;6;122,0962512
36;6;0,25;6;6;242,8362026
32;6;0,25;1;1;91,86956716
24;4;0,25;7;7;182,5547845
32;2;0,25;1;1;92,26393747
28;8;0,25;5;5;152,3574858
32;4;0,25;1;1;91,90416932
28;4;0,25;3;3;122,2078063
32;6;0,25;1;1;92,09086657
16;4;0,25;7;7;132,0567932
48;4;0,25;0;0;82,04042792
24;4;0,25;7;7;182,798789
28;8;0,25;5;5;152,4182074
28;2;0,25;2;2;112,3266742
36;4;0,25;2;2;122,6521921
24;4;0,25;7;7;182,5628052
24;4;0,25;7;7;182,6443384
28;4;0,25;3;3;122,1316812
40;2;0,25;4;4;222,6176856
28;4;0,25;3;3;122,3249373
28;4;0,25;3;3;122,3298802
28;4;0,25;3;3;122,4727585
;;;;;
