Max Iterations;Desired Fitness;Population Size;Elitism Size;Fitness;Best Fitness;Current Iteration;Solution Found ;Max Iterations ;Stopping Criteria Reached;Time
100;0,000001;12;8;0.25;0.25;0;4;4;????;71.97667837142944
100;0,000001;16;8;0.25;0.25;0;21;21;????;222.97126364707947
100;0,000001;16;8;0.25;0.25;0;21;21;????;222.71957421302795
100;0,000001;16;8;0.25;0.25;0;21;21;????;222.55839276313782
100;0,000001;20;8;0.25;0.25;0;6;6;????;122.04681706428528
100;0,000001;20;8;0.25;0.25;0;6;6;????;122.27262115478516
100;0,000001;20;8;0.25;0.25;0;6;6;????;122.25889897346497
100;0,000001;24;8;0.25;0.25;0;7;7;????;162.47989439964294
100;0,000001;24;8;0.25;0.25;0;7;7;????;162.35169744491577
100;0,000001;24;8;0.25;0.25;0;7;7;????;162.23342990875244
100;0,000001;32;8;0.25;0.25;0;1;1;????;92.33204984664917
100;0,000001;32;8;0.25;0.25;0;1;1;????;91.86792755126953
100;0,000001;32;8;0.25;0.25;0;1;1;????;92.10327196121216
100;0,000001;36;8;0.25;0.25;0;2;2;????;122.46987009048462
100;0,000001;40;8;0.25;0.25;0;2;2;????;122.08315014839172
100;0,000001;40;8;0.25;0.25;0;2;2;????;122.29710912704468
100;0,000001;40;8;0.25;0.25;0;2;2;????;122.15143132209778
100;0,000001;40;8;0.25;0.25;0;2;2;????;122.19325065612793
100;0,000001;44;8;0.25;0.25;0;3;3;????;182.44547724723816
100;0,000001;12;6;0.25;0.25;0;1;1;????;51.53304433822632
100;0,000001;12;6;0.25;0.25;0;1;1;????;52.00852179527283
100;0,000001;12;6;0.25;0.25;0;1;1;????;51.75436067581177
100;0,000001;12;6;0.25;0.25;0;1;1;????;51.526607036590576
100;0,000001;12;6;0.25;0.25;0;1;1;????;51.57560753822327
100;0,000001;12;6;0.25;0.25;0;1;1;????;51.513458013534546
100;0,000001;12;6;0.25;0.25;0;1;1;????;51.56739163398743
100;0,000001;16;6;0.25;0.25;0;6;6;????;101.98676204681396
100;0,000001;16;6;0.25;0.25;0;6;6;????;102.20521664619446
100;0,000001;16;6;0.25;0.25;0;6;6;????;102.42268919944763
100;0,000001;16;6;0.25;0.25;0;6;6;????;101.92502784729004
100;0,000001;16;6;0.25;0.25;0;6;6;????;112.47449946403503
100;0,000001;16;6;0.25;0.25;0;6;6;????;102.24404549598694
100;0,000001;16;6;0.25;0.25;0;6;6;????;102.21763229370117
100;0,000001;20;6;0.25;0.25;0;2;2;????;82.44458603858948
100;0,000001;20;6;0.25;0.25;0;2;2;????;82.29237818717957
100;0,000001;20;6;0.25;0.25;0;2;2;????;82.36234927177429
100;0,000001;20;6;0.25;0.25;0;2;2;????;223.04150652885437
100;0,000001;20;6;0.25;0.25;0;2;2;????;81.99220013618469
100;0,000001;24;6;0.25;0.25;0;6;6;????;162.69794464111328
100;0,000001;24;6;0.25;0.25;0;6;6;????;152.4476237297058
100;0,000001;24;6;0.25;0.25;0;6;6;????;162.41906070709229
100;0,000001;24;6;0.25;0.25;0;6;6;????;152.55310702323914
100;0,000001;24;6;0.25;0.25;0;6;6;????;152.329167842865
100;0,000001;28;6;0.25;0.25;0;6;6;????;172.2805769443512
100;0,000001;28;6;0.25;0.25;0;6;6;????;172.37334084510803
100;0,000001;28;6;0.25;0.25;0;6;6;????;172.87164974212646
100;0,000001;28;6;0.25;0.25;0;12;12;????;335.19062638282776
100;0,000001;28;6;0.25;0.25;0;6;6;????;172.38017225265503
100;0,000001;32;6;0.25;0.25;0;1;1;????;91.97048091888428
100;0,000001;32;6;0.25;0.25;0;1;1;????;91.99566769599915
100;0,000001;32;6;0.25;0.25;0;1;1;????;92.14844179153442
100;0,000001;32;6;0.25;0.25;0;1;1;????;92.05056285858154
100;0,000001;32;6;0.25;0.25;0;1;1;????;91.8117527961731
100;0,000001;32;6;0.25;0.25;0;1;1;????;92.1005539894104
100;0,000001;32;6;0.25;0.25;0;1;1;????;92.06883120536804
100;0,000001;36;6;0.25;0.25;0;6;6;????;242.81624627113342
100;0,000001;36;6;0.25;0.25;0;6;6;????;242.88696432113647
100;0,000001;36;6;0.25;0.25;0;6;6;????;232.68258929252625
100;0,000001;36;6;0.25;0.25;0;6;6;????;242.8341407775879
100;0,000001;36;6;0.25;0.25;0;6;6;????;243.06137418746948
100;0,000001;40;6;0.25;0.25;0;1;1;????;112.36211061477661
100;0,000001;40;6;0.25;0.25;0;1;1;????;112.30377769470215
100;0,000001;40;6;0.25;0.25;0;1;1;????;102.37254977226257
100;0,000001;40;6;0.25;0.25;0;1;1;????;102.20923399925232
100;0,000001;40;6;0.25;0.25;0;1;1;????;102.21480298042297
100;0,000001;40;6;0.25;0.25;0;1;1;????;101.8591525554657
100;0,000001;40;6;0.25;0.25;0;1;1;????;102.01045894622803
100;0,000001;40;6;0.25;0.25;0;1;1;????;102.01037812232971
100;0,000001;44;6;0.25;0.25;0;5;5;????;252.89104318618774
100;0,000001;44;6;0.25;0.25;0;5;5;????;242.80946898460388
100;0,000001;44;6;0.25;0.25;0;5;5;????;242.72549700737
100;0,000001;44;6;0.25;0.25;0;5;5;????;242.8511459827423
100;0,000001;44;6;0.25;0.25;0;5;5;????;242.77193903923035
100;0,000001;44;6;0.25;0.25;0;5;5;????;243.08908581733704
100;0,000001;44;6;0.25;0.25;0;5;5;????;242.87996220588684
100;0,000001;44;6;0.25;0.25;0;5;5;????;242.87419605255127
100;0,000001;48;6;0.25;0.25;0;0;0;????;92.14553594589233
100;0,000001;48;6;0.25;0.25;0;0;0;????;81.79709672927856
100;0,000001;12;4;0.25;0.25;0;1;1;????;51.51738238334656
100;0,000001;12;4;0.25;0.25;0;1;1;????;51.8963303565979
100;0,000001;12;4;0.25;0.25;0;1;1;????;51.55645179748535
100;0,000001;12;4;0.25;0.25;0;1;1;????;51.72247815132141
100;0,000001;12;4;0.25;0.25;0;1;1;????;51.51914024353027
100;0,000001;12;4;0.25;0.25;0;1;1;????;51.57813501358032
100;0,000001;16;4;0.25;0.25;0;7;7;????;132.25060629844666
100;0,000001;16;4;0.25;0.25;0;7;7;????;132.39908623695374
100;0,000001;16;4;0.25;0.25;0;7;7;????;132.14447164535522
100;0,000001;16;4;0.25;0.25;0;7;7;????;132.1525754928589
100;0,000001;16;4;0.25;0.25;0;7;7;????;132.4753007888794
100;0,000001;16;4;0.25;0.25;0;7;7;????;132.32696437835693
100;0,000001;16;4;0.25;0.25;0;7;7;????;132.02442336082458
100;0,000001;16;4;0.25;0.25;0;7;7;????;132.28580260276794
100;0,000001;20;4;0.25;0.25;0;2;2;????;82.09542655944824
100;0,000001;20;4;0.25;0.25;0;2;2;????;82.09505844116211
100;0,000001;20;4;0.25;0.25;0;2;2;????;82.181471824646
100;0,000001;20;4;0.25;0.25;0;2;2;????;82.11444759368896
100;0,000001;20;4;0.25;0.25;0;2;2;????;82.1066563129425
100;0,000001;20;4;0.25;0.25;0;2;2;????;81.98436427116394
100;0,000001;20;4;0.25;0.25;0;2;2;????;82.00171208381653
100;0,000001;20;4;0.25;0.25;0;2;2;????;82.05531859397888
100;0,000001;24;4;0.25;0.25;0;7;7;????;182.54899764060974
100;0,000001;24;4;0.25;0.25;0;7;7;????;182.9182004928589
100;0,000001;24;4;0.25;0.25;0;7;7;????;182.54213190078735
100;0,000001;24;4;0.25;0.25;0;7;7;????;182.50796389579773
100;0,000001;24;4;0.25;0.25;0;7;7;????;182.51183819770813
100;0,000001;28;4;0.25;0.25;0;3;3;????;122.33875799179077
100;0,000001;28;4;0.25;0.25;0;3;3;????;132.32785773277283
100;0,000001;28;4;0.25;0.25;0;3;3;????;132.23934173583984
100;0,000001;28;4;0.25;0.25;0;3;3;????;122.29306507110596
100;0,000001;28;4;0.25;0.25;0;3;3;????;122.56306505203247
100;0,000001;28;4;0.25;0.25;0;3;3;????;122.24859404563904
100;0,000001;28;4;0.25;0.25;0;3;3;????;122.30240774154663
100;0,000001;28;4;0.25;0.25;0;3;3;????;132.70557570457458
100;0,000001;32;4;0.25;0.25;0;1;1;????;92.22390985488892
100;0,000001;32;4;0.25;0.25;0;1;1;????;92.0149757862091
100;0,000001;32;4;0.25;0.25;0;1;1;????;92.01475501060486
100;0,000001;32;4;0.25;0.25;0;1;1;????;92.36984467506409
100;0,000001;32;4;0.25;0.25;0;1;1;????;92.36010789871216
100;0,000001;32;4;0.25;0.25;0;1;1;????;91.82577562332153
100;0,000001;32;4;0.25;0.25;0;1;1;????;92.18955326080322
100;0,000001;32;4;0.25;0.25;0;1;1;????;92.28363299369812
100;0,000001;36;4;0.25;0.25;0;2;2;????;132.49427723884583
100;0,000001;36;4;0.25;0.25;0;2;2;????;132.2924656867981
100;0,000001;36;4;0.25;0.25;0;2;2;????;122.26965832710266
100;0,000001;36;4;0.25;0.25;0;2;2;????;122.40910530090332
100;0,000001;36;4;0.25;0.25;0;2;2;????;132.64724397659302
100;0,000001;36;4;0.25;0.25;0;2;2;????;122.25873613357544
100;0,000001;40;4;0.25;0.25;0;1;1;????;112.20273780822754
100;0,000001;40;4;0.25;0.25;0;1;1;????;112.27175164222717
100;0,000001;40;4;0.25;0.25;0;1;1;????;112.32520890235901
100;0,000001;40;4;0.25;0.25;0;1;1;????;112.21522855758667
100;0,000001;40;4;0.25;0.25;0;1;1;????;112.42840647697449
100;0,000001;40;4;0.25;0.25;0;1;1;????;111.97121787071228
100;0,000001;44;4;0.25;0.25;0;1;1;????;112.1853518486023
100;0,000001;44;4;0.25;0.25;0;1;1;????;112.18419289588928
100;0,000001;44;4;0.25;0.25;0;1;1;????;112.34839987754822
100;0,000001;44;4;0.25;0.25;0;1;1;????;112.21115684509277
100;0,000001;44;4;0.25;0.25;0;1;1;????;112.06160259246826
100;0,000001;44;4;0.25;0.25;0;1;1;????;112.40654063224792
100;0,000001;44;4;0.25;0.25;0;1;1;????;113.36206340789795
100;0,000001;44;4;0.25;0.25;0;1;1;????;112.06241369247437
100;0,000001;12;2;0.25;0.25;0;1;1;????;51.512115240097046
100;0,000001;12;2;0.25;0.25;0;1;1;????;51.528512954711914
100;0,000001;12;2;0.25;0.25;0;1;1;????;51.42233109474182
100;0,000001;12;2;0.25;0.25;0;1;1;????;51.61703014373779
100;0,000001;12;2;0.25;0.25;0;1;1;????;51.85660743713379
100;0,000001;12;2;0.25;0.25;0;1;1;????;51.35469031333923
100;0,000001;12;2;0.25;0.25;0;1;1;????;51.5481972694397
100;0,000001;12;2;0.25;0.25;0;1;1;????;51.56625270843506
100;0,000001;12;2;0.25;0.25;0;1;1;????;51.41081666946411
100;0,000001;12;2;0.25;0.25;0;1;1;????;51.55496859550476
100;0,000001;16;2;0.25;0.25;0;4;4;????;112.23979806900024
100;0,000001;16;2;0.25;0.25;0;4;4;????;102.14079523086548
100;0,000001;16;2;0.25;0.25;0;4;4;????;101.8988311290741
100;0,000001;16;2;0.25;0.25;0;4;4;????;102.32158207893372
100;0,000001;16;2;0.25;0.25;0;4;4;????;102.32308411598206
100;0,000001;16;2;0.25;0.25;0;4;4;????;102.05020260810852
100;0,000001;16;2;0.25;0.25;0;4;4;????;102.17266750335693
100;0,000001;16;2;0.25;0.25;0;4;4;????;102.08501935005188
100;0,000001;16;2;0.25;0.25;0;4;4;????;102.19950222969055
100;0,000001;16;2;0.25;0.25;0;4;4;????;102.40675330162048
100;0,000001;16;2;0.25;0.25;0;4;4;????;102.13348054885864
100;0,000001;20;2;0.25;0.25;0;1;1;????;72.27390909194946
100;0,000001;20;2;0.25;0.25;0;1;1;????;72.36819314956665
100;0,000001;20;2;0.25;0.25;0;1;1;????;62.010812759399414
100;0,000001;20;2;0.25;0.25;0;1;1;????;61.922640323638916
100;0,000001;20;2;0.25;0.25;0;1;1;????;61.83527374267578
100;0,000001;20;2;0.25;0.25;0;1;1;????;61.78033947944641
100;0,000001;20;2;0.25;0.25;0;1;1;????;61.96111512184143
100;0,000001;24;2;0.25;0.25;0;1;1;????;82.14875364303589
100;0,000001;24;2;0.25;0.25;0;1;1;????;81.94220519065857
100;0,000001;24;2;0.25;0.25;0;1;1;????;82.1086630821228
100;0,000001;24;2;0.25;0.25;0;1;1;????;82.00661897659302
100;0,000001;24;2;0.25;0.25;0;1;1;????;72.34709119796753
100;0,000001;24;2;0.25;0.25;0;1;1;????;82.14468121528625
100;0,000001;24;2;0.25;0.25;0;1;1;????;82.09168696403503
100;0,000001;24;2;0.25;0.25;0;1;1;????;82.2207932472229
100;0,000001;28;2;0.25;0.25;0;2;2;????;112.24876713752747
100;0,000001;28;2;0.25;0.25;0;2;2;????;112.2020206451416
100;0,000001;28;2;0.25;0.25;0;2;2;????;112.25919818878174
100;0,000001;28;2;0.25;0.25;0;2;2;????;111.93951463699341
100;0,000001;32;2;0.25;0.25;0;1;1;????;152.42231273651123
100;0,000001;32;2;0.25;0.25;0;1;1;????;92.24404215812683
100;0,000001;32;2;0.25;0.25;0;1;1;????;92.15937685966492
100;0,000001;32;2;0.25;0.25;0;1;1;????;92.1205267906189
100;0,000001;32;2;0.25;0.25;0;1;1;????;92.21263360977173
100;0,000001;36;2;0.25;0.25;0;1;1;????;92.05659031867981
100;0,000001;36;2;0.25;0.25;0;1;1;????;92.38302946090698
100;0,000001;36;2;0.25;0.25;0;1;1;????;92.43028283119202
100;0,000001;40;2;0.25;0.25;0;4;4;????;222.59139966964722
100;0,000001;40;2;0.25;0.25;0;4;4;????;223.47819066047668
100;0,000001;40;2;0.25;0.25;0;4;4;????;222.9882504940033
100;0,000001;40;2;0.25;0.25;0;4;4;????;222.8085973262787
100;0,000001;44;2;0.25;0.25;0;1;1;????;122.1037175655365
100;0,000001;44;2;0.25;0.25;0;1;1;????;122.26415491104126
100;0,000001;44;2;0.25;0.25;0;1;1;????;122.22094869613647
100;0,000001;44;2;0.25;0.25;0;1;1;????;122.48791313171387
100;0,000001;48;2;0.25;0.25;0;0;0;????;82.10222959518433
100;0,000001;48;2;0.25;0.25;0;0;0;????;82.03939723968506
100;0,000001;48;2;0.25;0.25;0;0;0;????;82.05173325538635
