crossover_rate;mutation_rate;Fitness;Solution Found At;Max s Found;Time
0,248312574;0,055157768;0,1;8;8;82,05896688
0,455743701;0,793726754;0,1;22;22;313,3345196
0,224134704;0,07849315;0,1;7;7;82,35187149
0,575604373;0,826167189;0,1;17;17;253,0322046
0,526755318;0,944748179;0,1;14;14;233,1418598
0,544064423;0,384460715;0,1;6;6;102,2994337
0,046761699;0,865824339;0,1;7;7;132,2609191
0,18989072;0,449977628;0,1;3;3;72,08208752
0,202064089;0,542022764;0,1;17;17;223,0783033
0,930653383;0,795010893;0,1;17;17;257,9721539
0,951399929;0,136986488;0,1;18;18;182,5870793
0,491025303;0,282638286;0,1;5;5;82,02654552
0,492596068;0,791551379;0,1;17;17;253,019655
0,73684741;0,030095973;0,1;4;4;72,10263896
0,223736643;0,460175639;0,1;2;2;62,08045673
0,199163767;0,262171234;0,1;2;2;62,0552125
0,366112564;0,349201113;0,1;2;2;62,20565939
0,890551052;0,484196081;0,1;21;21;272,9947095
0,54213232;0,545813651;0,1;11;11;162,2835815
0,20681288;0,409093121;0,1;2;2;61,80395555
0,962487117;0,802220506;0,1;12;12;192,3112969
0,421882643;0,332521779;0,1;2;2;62,04958415
0,115855749;0,809032707;0,1;3;3;81,87091804
0,988816301;0,511620136;0,1;2;2;61,72836018
0,389902769;0,727715924;0,1;2;2;71,74812603
0,869582088;0,009025567;0,1;4;4;72,37262988
0,105129373;0,329784441;0,1;2;2;51,50549579
0,733575444;0,674774208;0,1;8;8;142,364023
0,909184275;0,667973348;0,1;21;21;293,0312686
0,7348535;0,519314997;0,1;23;23;293,1032567
0,95962863;0,246291136;0,1;12;12;152,4159276
0,896113354;0,355281126;0,1;30;30;343,6394689
0,603208168;0,161020074;0,1;9;9;112,0861013
0,80982245;0,720575614;0,1;15;15;232,6371665
0,194644373;0,14426033;0,1;5;5;72,06585836
0,841540452;0,678609367;0,1;18;18;262,9729047
0,99225268;0,570008854;0,1;18;18;242,829123
0,624197761;0,446947214;0,1;3;3;71,75193572
0,618756267;0,489368626;0,1;3;3;82,07170463
0,484626186;0,893029829;0,1;27;27;403,4859915
0,291143323;0,491000166;0,1;4;4;91,9947443
0,367370993;0,939195049;0,1;5;5;112,2087271
0,133463219;0,498480987;0,1;4;4;82,40835452
0,152311089;0,161721868;0,1;4;4;61,61193681
0,18929262;0,377943825;0,1;2;2;61,95138359
0,573408658;0,774163463;0,1;16;16;242,9225171
0,17485851;0,908892943;0,1;3;3;81,95390224
0,396255044;0,169885618;0,1;11;11;112,0927885
0,048574344;0,877752865;0,1;5;5;102,1195209
0,809315514;0,748150436;0,1;8;8;142,3119354
0,180013914;0,486633281;0,1;21;21;252,9035439
0,786548257;0,078956918;0,1;2;2;62,05491447
0,98955896;0,83594175;0,1;18;18;282,934046
0,347479727;0,54254673;0,1;3;3;81,97840881
0,466023927;0,018317728;0,1;3;3;61,66973734
0,844015894;0,062478684;0,1;2;2;61,94295907
0,274668588;0,73604581;0,1;8;8;142,3958879
0,561538003;0,194243621;0,1;6;6;81,98861146
0,879317334;0,235416089;0,1;4;4;81,91576838
0,081709211;0,866416101;0,1;7;7;132,3944726
0,94982357;0,044550551;0,1;2;2;61,90826058
0,90885694;0,665553456;0,1;6;6;122,0257385
0,916237691;0,186378455;0,1;11;11;122,3216524
0,753953996;0,976531174;0,1;8;8;162,5335183
0,315382272;0,167051767;0,1;13;13;122,4636881
0,19207575;0,272870874;0,1;2;2;61,7462399
0,873108452;0,10618721;0,1;12;12;122,2901759
0,592341709;0,394492194;0,1;9;9;132,5690503
0,052699159;0,384551483;0,1;2;2;51,37392998
0,622408093;0,631916849;0,1;2;2;72,10900736
0,686929018;0,23255421;0,1;14;14;152,4905512
0,773834388;0,770612658;0,1;13;13;202,5141706
0,297338558;0,712910337;0,1;6;6;122,208014
0,947436398;0,271488127;0,1;22;22;252,7841821
0,876517862;0,181144422;0,1;33;33;303,3347025
0,778030898;0,304546216;0,1;2;2;61,75663924
0,083893493;0,003488212;0,1;13;13;102,2446475
0,015183929;0,478343919;0,1;6;6;92,11371398
0,162318425;0,437750888;0,1;3;3;72,12555718
0,835880429;0,303299909;0,1;2;2;61,94648147
0,340873134;0,580209889;0,1;3;3;72,00349164
0,903787617;0,598490678;0,1;6;6;111,9613869
0,045864612;0,884919101;0,1;5;5;112,1851232
0,044607651;0,377366715;0,1;2;2;51,49909997
0,839373292;0,666089352;0,1;7;7;132,4537585
0,900674424;0,177660401;0,1;11;11;132,665628
0,395741318;0,145638986;0,1;9;9;102,2123897
0,815610667;0,06067646;0,1;2;2;51,51172471
0,846634505;0,513357947;0,1;2;2;61,77164531
0,561280509;0,352786755;0,1;37;37;373,8713453
0,661366645;0,61326236;0,1;1;1;61,81611967
0,338532307;0,999691329;0,1;5;5;112,341284
0,580394515;0,279256561;0,1;5;5;82,04809117
0,033299178;0,773483511;0,1;9;9;152,9873316
0,582987156;0,769587712;0,1;7;7;132,2059822
0,067615192;0,378747353;0,1;2;2;51,55792332
0,136659022;0,524034278;0,1;7;7;122,1392245
0,432054604;0,545392484;0,1;3;3;82,11061668
0,344742306;0,252062466;0,1;2;2;62,0269475
0,069900017;0,435344527;0,1;2;2;51,62651253
